Device,fisica,model,key,version,1,AppVersion,3.3.2
Year,2013,Month,10,Day,2,Hour,18,Minute,48,Second,6,BatteryUsage (%),5.000000

comments
File created by Stages iPhone App.

sensor,present,smrec,zeroavg,model
pwr,no,no,no,n/a
spd,no,no,no,n/a
cad,no,no,no,n/a
hr,yes,yes,yes,n/a
footpod,no,no,no,n/a
gps,yes,no,no,n/a
workout,starttime,runningtime,pausedtime,wheeldist,cadavg,spdavg,pwravg,pwrPedalContribution,hravg,striderateavg,stridedist,gpsdist
,0,2994.071728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103.000000,0.000000,0.000000,4078.541504

interval,starttime,runningtime,pausedtime,wheeldist,cadavg,spdavg,pwravg,pwrPedalContribution,hravg,striderateavg,stridedist,gpsdist
1,0.000000,2994.071728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103.000000,0.000000,0.000000,4078.541504

time,pwr_accdist,pwr_cadence,pwr_speed,pwr_torque,pwr_instpwr,pwr_rightPedal,pwr_leftPedal,spd_accdist,spd_instspeed,cad_cadence,hr_heartrate,disp_atmospressure,disp_altitude,disp_temperature,gps_altitude,gps_lat,gps_lon,gps_dist,gps_speed,fp_accsteps,fp_accdist,fp_speed,interval,paused
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.330582,0.000000,0.000000,0.000000,336.259670,35.593189,-97.609939,3.033158,0.000000,0.000000,0.000000,0.000000,1,0
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.330582,0.000000,0.000000,0.000000,335.918123,35.593181,-97.609938,3.942552,1.567217,0.000000,0.000000,0.000000,1,0
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.496895,0.000000,0.000000,0.000000,335.329511,35.593167,-97.609937,5.509768,1.567217,0.000000,0.000000,0.000000,1,0
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.496895,0.000000,0.000000,0.000000,335.135499,35.593157,-97.609934,6.716389,0.947176,0.000000,0.000000,0.000000,1,0
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.496895,0.000000,0.000000,0.000000,335.225397,35.593149,-97.609929,7.663565,0.947176,0.000000,0.000000,0.000000,1,0
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.198044,0.000000,0.000000,0.000000,335.315295,35.593142,-97.609925,8.610742,0.947176,0.000000,0.000000,0.000000,1,0
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.198044,0.000000,0.000000,0.000000,335.405193,35.593134,-97.609920,9.557918,0.947176,0.000000,0.000000,0.000000,1,0
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.198044,0.000000,0.000000,0.000000,335.470582,35.593125,-97.609914,10.674323,1.274660,0.000000,0.000000,0.000000,1,0
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.198044,0.000000,0.000000,0.000000,335.513052,35.593115,-97.609908,11.948984,1.274660,0.000000,0.000000,0.000000,1,0
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,335.555523,35.593104,-97.609902,13.223644,1.274660,0.000000,0.000000,0.000000,1,0
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,335.724362,35.593096,-97.609897,14.258556,0.843679,0.000000,0.000000,0.000000,1,0
12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,335.993998,35.593089,-97.609893,15.102234,0.843679,0.000000,0.000000,0.000000,1,0
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.263633,35.593082,-97.609889,15.945913,0.843679,0.000000,0.000000,0.000000,1,0
14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.533269,35.593075,-97.609886,16.789592,0.843679,0.000000,0.000000,0.000000,1,0
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.680461,35.593070,-97.609883,17.452165,0.534814,0.000000,0.000000,0.000000,1,0
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.741277,35.593065,-97.609881,17.986979,0.534814,0.000000,0.000000,0.000000,1,0
17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.802092,35.593061,-97.609879,18.521793,0.534814,0.000000,0.000000,0.000000,1,0
18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.862907,35.593056,-97.609877,19.056607,0.534814,0.000000,0.000000,0.000000,1,0
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.923722,35.593051,-97.609875,19.591420,0.534814,0.000000,0.000000,0.000000,1,0
